Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2003,01,28,17,00,00,94.57833
2003,01,28,18,00,00,94.79767
2003,01,28,19,00,00,95.0585
2003,01,28,20,00,00,95.10483
2003,01,28,21,00,00,94.786
2003,01,28,22,00,00,94.66083
2003,01,28,23,00,00,93.71537
2003,01,29,00,00,00,94.89867
2003,01,29,01,00,00,95.37633
2003,01,29,02,00,00,94.65067
2003,01,29,03,00,00,95.14933
2003,01,29,04,00,00,94.46433
2003,01,29,05,00,00,93.80074
2003,01,29,06,00,00,91.3163
2003,01,29,07,00,00,91.47983
2003,01,29,08,00,00,92.12133
2003,01,29,09,00,00,92.05317
2003,01,29,10,00,00,90.782
2003,01,29,11,00,00,90.22767
2003,01,29,12,00,00,89.86133
2003,01,29,13,00,00,90.33367
2003,01,29,14,00,00,89.88357
2003,01,29,15,00,00,90.04667
2003,01,29,16,00,00,90.39433
2003,01,29,17,00,00,91.7045
2003,01,29,18,00,00,92.68383
2003,01,29,19,00,00,93.03111
2003,01,29,20,00,00,93.21867
2003,01,29,21,00,00,92.36617
2003,01,29,22,00,00,91.5545
2003,01,29,23,00,00,92.0781
2003,01,30,00,00,00,92.92125
2003,01,30,01,00,00,94.96907
2003,01,30,02,00,00,95.693
2003,01,30,03,00,00,96.12883
2003,01,30,04,00,00,96.62714
2003,01,30,05,00,00,96.1555
2003,01,30,06,00,00,95.29367
2003,01,30,07,00,00,95.66306
2003,01,30,08,00,00,95.98708
2003,01,30,09,00,00,97.569
2003,01,30,10,00,00,99.22569
2003,01,30,11,00,00,99.97146
2003,01,30,12,00,00,98.82267
2003,01,30,13,00,00,98.4255
2003,01,30,14,00,00,98.30228
2003,01,30,15,00,00,96.9981
2003,01,30,16,00,00,97.4675
2003,01,30,17,00,00,97.74625
2003,01,30,18,00,00,98.5535
2003,01,30,19,00,00,98.9195
2003,01,30,20,00,00,99.44017
2003,01,30,21,00,00,99.68533
2003,01,30,22,00,00,100.16217
2003,01,30,23,00,00,100.55783
2003,01,31,00,00,00,99.77431
2003,01,31,01,00,00,101.22054
2003,01,31,02,00,00,98.98717
2003,01,31,03,00,00,99.30533
2003,01,31,04,00,00,98.51817
2003,01,31,05,00,00,98.03233
2003,01,31,06,00,00,98.21483
2003,01,31,07,00,00,98.2445
2003,01,31,08,00,00,97.74833
2003,01,31,09,00,00,97.53867
2003,01,31,10,00,00,98.78367
2003,01,31,11,00,00,99.75417
2003,01,31,12,00,00,99.84067
2003,01,31,13,00,00,97.95633
2003,01,31,14,00,00,99.00317
2003,01,31,15,00,00,96.44067
2003,01,31,16,00,00,95.0625
2003,01,31,17,00,00,95.90125
2003,01,31,18,00,00,96.83786
2003,01,31,19,00,00,97.27833
2003,01,31,20,00,00,97.0905
2003,01,31,21,00,00,97.89
2003,01,31,22,00,00,97.2045
2003,01,31,23,00,00,95.35646
2003,02,01,00,00,00,94.701
2003,02,01,01,00,00,90.602
2003,02,01,02,00,00,91.61783
2003,02,01,03,00,00,88.55767
2003,02,01,04,00,00,86.51667
2003,02,01,05,00,00,83.17633
2003,02,01,06,00,00,89.64867
2003,02,01,07,00,00,92.75717
2003,02,01,08,00,00,92.55667
2003,02,01,09,00,00,98.30017
2003,02,01,10,00,00,98.77233
2003,02,01,11,00,00,99.13133
2003,02,01,12,00,00,103.21538
2003,02,01,13,00,00,97.32574
2003,02,01,14,00,00,93.9735
2003,02,01,15,00,00,92.84981
2003,02,01,16,00,00,92.55
2003,02,01,17,00,00,92.62483
2003,02,01,18,00,00,92.84683
2003,02,01,19,00,00,92.5235
2003,02,01,20,00,00,92.5513
2003,02,01,21,00,00,92.7937
2003,02,01,22,00,00,92.37981
2003,02,01,23,00,00,92.14944
2003,02,02,00,00,00,95.5515
2003,02,02,01,00,00,95.43981
2003,02,02,02,00,00,95.79233
2003,02,02,03,00,00,95.85963
2003,02,02,04,00,00,95.8405
2003,02,02,05,00,00,95.82983
