Year,Month,Day,Hour,Minute,Second,HYY_META.PAR
2013,01,23,16,00,00,2.04467
2013,01,23,17,00,00,0.06867
2013,01,23,18,00,00,-0.03533
2013,01,23,19,00,00,0.242
2013,01,23,20,00,00,0.034
2013,01,23,21,00,00,0.034
2013,01,23,22,00,00,0.034
2013,01,23,23,00,00,-0.00067
2013,01,24,00,00,00,-0.07533
2013,01,24,01,00,00,-0.07533
2013,01,24,02,00,00,-0.006
2013,01,24,03,00,00,-0.24867
2013,01,24,04,00,00,-0.35267
2013,01,24,05,00,00,-0.14467
2013,01,24,06,00,00,-0.07533
2013,01,24,07,00,00,-0.14467
2013,01,24,08,00,00,1.51933
2013,01,24,09,00,00,28.03933
2013,01,24,10,00,00,60.522
2013,01,24,11,00,00,105.034
2013,01,24,12,00,00,162.51133
2013,01,24,13,00,00,214.65
2013,01,24,14,00,00,109.22867
2013,01,24,15,00,00,27.51933
2013,01,24,16,00,00,2.24733
2013,01,24,17,00,00,0.13267
2013,01,24,18,00,00,-0.04067
2013,01,24,19,00,00,-0.07533
2013,01,24,20,00,00,-0.07533
2013,01,24,21,00,00,-0.006
2013,01,24,22,00,00,0.202
2013,01,24,23,00,00,-0.214
2013,01,25,00,00,00,-0.11533
2013,01,25,01,00,00,0.19667
2013,01,25,02,00,00,-0.15
2013,01,25,03,00,00,-0.046
2013,01,25,04,00,00,0.02333
2013,01,25,05,00,00,-0.046
2013,01,25,06,00,00,-0.15
2013,01,25,07,00,00,-0.01133
2013,01,25,08,00,00,1.37533
2013,01,25,09,00,00,24.082
2013,01,25,10,00,00,80.554
2013,01,25,11,00,00,154.04733
2013,01,25,12,00,00,124.37267
2013,01,25,13,00,00,104.71667
2013,01,25,14,00,00,56.77267
2013,01,25,15,00,00,28.762
2013,01,25,16,00,00,2.10333
2013,01,25,17,00,00,-0.01133
2013,01,25,18,00,00,-0.01133
2013,01,25,19,00,00,-0.15
2013,01,25,20,00,00,-0.18467
2013,01,25,21,00,00,0.162
2013,01,25,22,00,00,0.162
2013,01,25,23,00,00,-0.08067
2013,01,26,00,00,00,-0.066
2013,01,26,01,00,00,-0.20467
2013,01,26,02,00,00,0.142
2013,01,26,03,00,00,0.038
2013,01,26,04,00,00,0.07267
2013,01,26,05,00,00,-0.20467
2013,01,26,06,00,00,-0.03133
2013,01,26,07,00,00,0.00333
2013,01,26,08,00,00,1.11267
2013,01,26,09,00,00,15.77667
2013,01,26,10,00,00,37.65133
2013,01,26,11,00,00,52.974
2013,01,26,12,00,00,52.73133
2013,01,26,13,00,00,38.96867
2013,01,26,14,00,00,23.126
2013,01,26,15,00,00,14.00867
2013,01,26,16,00,00,1.66733
2013,01,26,17,00,00,-0.10067
2013,01,26,18,00,00,-0.066
2013,01,26,19,00,00,-0.10067
2013,01,26,20,00,00,-0.066
2013,01,26,21,00,00,0.07267
2013,01,26,22,00,00,0.142
2013,01,26,23,00,00,-0.066
2013,01,27,00,00,00,0.08667
2013,01,27,01,00,00,0.156
2013,01,27,02,00,00,0.052
2013,01,27,03,00,00,-0.19067
2013,01,27,04,00,00,-0.052
2013,01,27,05,00,00,-0.052
2013,01,27,06,00,00,-0.052
2013,01,27,07,00,00,-0.01733
2013,01,27,08,00,00,0.29467
2013,01,27,09,00,00,5.18267
2013,01,27,10,00,00,19.04933
2013,01,27,11,00,00,43.14267
2013,01,27,12,00,00,40.95867
2013,01,27,13,00,00,31.11333
2013,01,27,14,00,00,28.79067
2013,01,27,15,00,00,7.436
2013,01,27,16,00,00,0.50267
2013,01,27,17,00,00,-0.01733
2013,01,27,18,00,00,-0.156
2013,01,27,19,00,00,-0.08667
2013,01,27,20,00,00,-0.12133
2013,01,27,21,00,00,-0.12133
2013,01,27,22,00,00,-0.22533
2013,01,27,23,00,00,-0.26
2013,01,28,00,00,00,0.20733
2013,01,28,01,00,00,0.20733
2013,01,28,02,00,00,-0.03533
2013,01,28,03,00,00,0.17267
2013,01,28,04,00,00,-0.07
2013,01,28,05,00,00,0.17267
2013,01,28,06,00,00,-0.00067
2013,01,28,07,00,00,-0.174
2013,01,28,08,00,00,0.51933
2013,01,28,09,00,00,10.57867
2013,01,28,10,00,00,37.55333
2013,01,28,11,00,00,62.65033
2013,01,28,12,00,00,44.10533
2013,01,28,13,00,00,42.44133
2013,01,28,14,00,00,29.02533
2013,01,28,15,00,00,14.46533
2013,01,28,16,00,00,2.56583
2013,01,28,17,00,00,0.06867
2013,01,28,18,00,00,-0.03533
2013,01,28,19,00,00,0.138
2013,01,28,20,00,00,-0.278
2013,01,28,21,00,00,0.27667
2013,01,28,22,00,00,-0.07
2013,01,28,23,00,00,0.17267
2013,01,29,00,00,00,-0.14667
2013,01,29,01,00,00,-0.07733
2013,01,29,02,00,00,0.13067
2013,01,29,03,00,00,-0.18133
2013,01,29,04,00,00,-0.008
2013,01,29,05,00,00,-0.18133
2013,01,29,06,00,00,-0.07733
2013,01,29,07,00,00,-0.07733
2013,01,29,08,00,00,0.89333
2013,01,29,09,00,00,9.21333
2013,01,29,10,00,00,36.704
2013,01,29,11,00,00,80.14133
2013,01,29,12,00,00,93.31467
2013,01,29,13,00,00,84.68267
2013,01,29,14,00,00,51.19467
2013,01,29,15,00,00,20.41067
2013,01,29,16,00,00,3.528
2013,01,29,17,00,00,-0.35467
2013,01,29,18,00,00,0.33867
2013,01,29,19,00,00,-0.008
2013,01,29,20,00,00,-0.25067
2013,01,29,21,00,00,-0.28533
2013,01,29,22,00,00,-0.216
2013,01,29,23,00,00,-0.07733
2013,01,30,00,00,00,-0.076
2013,01,30,01,00,00,0.132
2013,01,30,02,00,00,0.236
2013,01,30,03,00,00,0.34
2013,01,30,04,00,00,0.132
2013,01,30,05,00,00,-0.076
2013,01,30,06,00,00,-0.04133
2013,01,30,07,00,00,-0.00667
2013,01,30,08,00,00,1.24133
2013,01,30,09,00,00,8.38267
2013,01,30,10,00,00,24.01733
2013,01,30,11,00,00,52.20133
2013,01,30,12,00,00,38.02267
2013,01,30,13,00,00,31.05467
2013,01,30,14,00,00,19.892
2013,01,30,15,00,00,8.59067
2013,01,30,16,00,00,1.068
2013,01,30,17,00,00,-0.31867
2013,01,30,18,00,00,0.09733
2013,01,30,19,00,00,-0.14533
2013,01,30,20,00,00,-0.076
2013,01,30,21,00,00,-0.076
2013,01,30,22,00,00,0.132
2013,01,30,23,00,00,-0.00667
2013,01,31,00,00,00,-0.05067
2013,01,31,01,00,00,-0.15467
2013,01,31,02,00,00,-0.05067
2013,01,31,03,00,00,0.05333
2013,01,31,04,00,00,-0.05067
2013,01,31,05,00,00,0.22667
2013,01,31,06,00,00,-0.328
2013,01,31,07,00,00,0.12267
2013,01,31,08,00,00,1.024
2013,01,31,09,00,00,8.26933
2013,01,31,10,00,00,24.18133
2013,01,31,11,00,00,70.21867
2013,01,31,12,00,00,121.73333
2013,01,31,13,00,00,48.968
2013,01,31,14,00,00,25.29067
2013,01,31,15,00,00,16.104
2013,01,31,16,00,00,3.24267
2013,01,31,17,00,00,0.22667
2013,01,31,18,00,00,-0.016
2013,01,31,19,00,00,0.01867
2013,01,31,20,00,00,-0.05067
2013,01,31,21,00,00,0.15733
2013,01,31,22,00,00,-0.12
2013,01,31,23,00,00,-0.29333
2013,02,01,00,00,00,-0.03533
2013,02,01,01,00,00,0.034
2013,02,01,02,00,00,0.10333
2013,02,01,03,00,00,0.138
2013,02,01,04,00,00,0.138
2013,02,01,05,00,00,-0.24333
2013,02,01,06,00,00,-0.278
2013,02,01,07,00,00,-0.20867
2013,02,01,08,00,00,3.57
2013,02,01,09,00,00,28.56467
2013,02,01,10,00,00,62.67667
2013,02,01,11,00,00,117.38067
2013,02,01,12,00,00,109.026
2013,02,01,13,00,00,100.394
2013,02,01,14,00,00,74.42867
2013,02,01,15,00,00,26.90067
2013,02,01,16,00,00,6.066
2013,02,01,17,00,00,-0.07
2013,02,01,18,00,00,0.38067
2013,02,01,19,00,00,-0.03533
2013,02,01,20,00,00,0.138
2013,02,01,21,00,00,-0.07
