Year,Month,Day,Hour,Minute,Second,HYY_META.CO2icos168
2013,01,17,07,00,00,406.2699
2013,01,17,08,00,00,406.2511
2013,01,17,09,00,00,406.1928
2013,01,17,10,00,00,406.3032
2013,01,17,11,00,00,406.5891
2013,01,17,12,00,00,407.0263
2013,01,17,13,00,00,407.5208
2013,01,17,14,00,00,407.9788
2013,01,17,15,00,00,408.3922
2013,01,17,16,00,00,408.9116
2013,01,17,17,00,00,409.6206
2013,01,17,18,00,00,409.78556
2013,01,17,19,00,00,410.0825
2013,01,17,20,00,00,409.2433
2013,01,17,21,00,00,409.1036
2013,01,17,22,00,00,408.9614
2013,01,17,23,00,00,409.2928
2013,01,18,00,00,00,409.1556
2013,01,18,01,00,00,408.8937
2013,01,18,02,00,00,408.5261
2013,01,18,03,00,00,407.8944
2013,01,18,04,00,00,406.7409
2013,01,18,05,00,00,406.4398
2013,01,18,06,00,00,405.3726
2013,01,18,07,00,00,404.4698
2013,01,18,08,00,00,405.33356
2013,01,18,09,00,00,405.225
2013,01,18,10,00,00,404.6024
2013,01,18,11,00,00,405.1283
2013,01,18,12,00,00,405.5737
2013,01,18,13,00,00,406.3475
2013,01,18,14,00,00,407.1536
2013,01,18,15,00,00,407.9329
2013,01,18,16,00,00,410.2669
2013,01,18,17,00,00,411.1688
2013,01,18,18,00,00,409.0695
2013,01,18,19,00,00,408.2773
2013,01,18,20,00,00,408.9772
2013,01,18,21,00,00,411.6583
2013,01,18,22,00,00,412.4217
2013,01,18,23,00,00,410.50389
2013,01,19,00,00,00,409.7799
2013,01,19,01,00,00,409.359
2013,01,19,02,00,00,407.8661
2013,01,19,03,00,00,407.1741
2013,01,19,04,00,00,407.0704
2013,01,19,05,00,00,406.5323
2013,01,19,06,00,00,406.0106
2013,01,19,07,00,00,406.16
2013,01,19,08,00,00,406.4375
2013,01,19,09,00,00,406.7432
2013,01,19,10,00,00,406.5115
2013,01,19,11,00,00,406.3225
2013,01,19,12,00,00,406.5247
2013,01,19,13,00,00,406.72756
2013,01,19,14,00,00,406.7925
2013,01,19,15,00,00,407.1099
2013,01,19,16,00,00,407.4837
2013,01,19,17,00,00,407.7
2013,01,19,18,00,00,407.8126
2013,01,19,19,00,00,407.931
2013,01,19,20,00,00,408.0456
2013,01,19,21,00,00,408.0375
2013,01,19,22,00,00,407.5652
2013,01,19,23,00,00,405.9896
2013,01,20,00,00,00,404.7749
2013,01,20,01,00,00,404.0605
2013,01,20,02,00,00,403.5428
2013,01,20,03,00,00,403.06644
2013,01,20,04,00,00,402.9096
2013,01,20,05,00,00,402.838
2013,01,20,06,00,00,402.8543
2013,01,20,07,00,00,402.8037
2013,01,20,08,00,00,402.2559
2013,01,20,09,00,00,401.5809
2013,01,20,10,00,00,401.1659
2013,01,20,11,00,00,401.0089
2013,01,20,12,00,00,400.9647
2013,01,20,13,00,00,400.878
2013,01,20,14,00,00,400.6315
2013,01,20,15,00,00,400.451
2013,01,20,16,00,00,400.4935
2013,01,20,17,00,00,400.56411
2013,01,20,18,00,00,400.4495
2013,01,20,19,00,00,400.3604
2013,01,20,20,00,00,400.344
2013,01,20,21,00,00,400.4076
2013,01,20,22,00,00,400.4201
2013,01,20,23,00,00,400.4085
2013,01,21,00,00,00,400.3949
