Year,Month,Day,Hour,Minute,Second,HYY_META.RHIRGA336
2003,01,23,08,00,00,97.676
2003,01,23,09,00,00,96.651
2003,01,23,10,00,00,96.854
2003,01,23,11,00,00,97.855
2003,01,23,12,00,00,99.878
2003,01,23,13,00,00,100.001
2003,01,23,14,00,00,100.411
2003,01,23,15,00,00,100.536
2003,01,23,16,00,00,100.443
2003,01,23,17,00,00,100.324
2003,01,23,18,00,00,99.96
2003,01,23,19,00,00,100.127
2003,01,23,20,00,00,97.113
2003,01,23,21,00,00,92.894
2003,01,23,22,00,00,87.501
2003,01,23,23,00,00,88.784
2003,01,24,00,00,00,92.159
2003,01,24,01,00,00,94.359
2003,01,24,02,00,00,93.715
2003,01,24,03,00,00,95.278
2003,01,24,04,00,00,95.448
2003,01,24,05,00,00,94.189
2003,01,24,06,00,00,92.295
2003,01,24,07,00,00,92.718
2003,01,24,08,00,00,91.853
2003,01,24,09,00,00,88.666
2003,01,24,10,00,00,89.088
2003,01,24,11,00,00,92.397
2003,01,24,12,00,00,88.567
2003,01,24,13,00,00,82.906
2003,01,24,14,00,00,81.77
2003,01,24,15,00,00,83.419
2003,01,24,16,00,00,80.961
2003,01,24,17,00,00,81.975
2003,01,24,18,00,00,77.886
2003,01,24,19,00,00,74.085
2003,01,24,20,00,00,82.702
2003,01,24,21,00,00,87.154
2003,01,24,22,00,00,87.257
2003,01,24,23,00,00,86.323
2003,01,25,00,00,00,91.354
2003,01,25,01,00,00,92.854
2003,01,25,02,00,00,93.775
2003,01,25,03,00,00,95.718
2003,01,25,04,00,00,95.527
2003,01,25,05,00,00,93.466
2003,01,25,06,00,00,92.898
2003,01,25,07,00,00,92.335
2003,01,25,08,00,00,90.353
2003,01,25,09,00,00,89.441
2003,01,25,10,00,00,88.256
2003,01,25,11,00,00,87.352
2003,01,25,12,00,00,86.777
2003,01,25,13,00,00,88.15
2003,01,25,14,00,00,91.181
2003,01,25,15,00,00,92.74
2003,01,25,16,00,00,96.816
2003,01,25,17,00,00,98.004
2003,01,25,18,00,00,100.72
2003,01,25,19,00,00,100.296
2003,01,25,20,00,00,99.653
2003,01,25,21,00,00,99.783
2003,01,25,22,00,00,99.899
2003,01,25,23,00,00,99.901
2003,01,26,00,00,00,99.081
2003,01,26,01,00,00,99.341
2003,01,26,02,00,00,99.531
2003,01,26,03,00,00,99.794
2003,01,26,04,00,00,99.938
2003,01,26,05,00,00,99.83222
2003,01,26,06,00,00,NaN
2003,01,26,07,00,00,102.84167
2003,01,26,08,00,00,101.048
2003,01,26,09,00,00,100.814
2003,01,26,10,00,00,100.376
2003,01,26,11,00,00,100.096
2003,01,26,12,00,00,99.396
2003,01,26,13,00,00,99.213
2003,01,26,14,00,00,98.295
2003,01,26,15,00,00,97.518
2003,01,26,16,00,00,98.509
2003,01,26,17,00,00,98.783
2003,01,26,18,00,00,98.743
2003,01,26,19,00,00,98.028
2003,01,26,20,00,00,97.858
2003,01,26,21,00,00,97.405
2003,01,26,22,00,00,98.293
2003,01,26,23,00,00,98.671
2003,01,27,00,00,00,99.693
2003,01,27,01,00,00,99.68
2003,01,27,02,00,00,100.083
2003,01,27,03,00,00,99.979
2003,01,27,04,00,00,100.08
2003,01,27,05,00,00,100.403
2003,01,27,06,00,00,99.979
2003,01,27,07,00,00,96.827
2003,01,27,08,00,00,95.605
2003,01,27,09,00,00,95.291
2003,01,27,10,00,00,93.176
2003,01,27,11,00,00,93.836
2003,01,27,12,00,00,93.774
2003,01,27,13,00,00,93.02
2003,01,27,14,00,00,92.413
2003,01,27,15,00,00,92.658
2003,01,27,16,00,00,92.113
2003,01,27,17,00,00,92.546
2003,01,27,18,00,00,92.376
2003,01,27,19,00,00,91.647
2003,01,27,20,00,00,91.966
2003,01,27,21,00,00,91.624
2003,01,27,22,00,00,91.328
2003,01,27,23,00,00,91.551
2003,01,28,00,00,00,97.522
2003,01,28,01,00,00,97.032
2003,01,28,02,00,00,96.695
2003,01,28,03,00,00,96.053
2003,01,28,04,00,00,95.901
2003,01,28,05,00,00,95.473
2003,01,28,06,00,00,95.814
2003,01,28,07,00,00,95.334
2003,01,28,08,00,00,95.155
2003,01,28,09,00,00,95.438
2003,01,28,10,00,00,95.994
2003,01,28,11,00,00,95.74
2003,01,28,12,00,00,96.126
2003,01,28,13,00,00,96.253
2003,01,28,14,00,00,95.529
2003,01,28,15,00,00,NaN
2003,01,28,16,00,00,NaN
2003,01,28,17,00,00,NaN
2003,01,28,18,00,00,NaN
2003,01,28,19,00,00,NaN
2003,01,28,20,00,00,NaN
2003,01,28,21,00,00,NaN
2003,01,28,22,00,00,NaN
2003,01,28,23,00,00,NaN
2003,01,29,00,00,00,NaN
2003,01,29,01,00,00,NaN
2003,01,29,02,00,00,NaN
2003,01,29,03,00,00,NaN
2003,01,29,04,00,00,NaN
2003,01,29,05,00,00,NaN
2003,01,29,06,00,00,NaN
2003,01,29,07,00,00,NaN
2003,01,29,08,00,00,NaN
2003,01,29,09,00,00,NaN
2003,01,29,10,00,00,NaN
2003,01,29,11,00,00,NaN
2003,01,29,12,00,00,NaN
2003,01,29,13,00,00,NaN
2003,01,29,14,00,00,NaN
2003,01,29,15,00,00,98.377
2003,01,29,16,00,00,99.744
2003,01,29,17,00,00,100.758
2003,01,29,18,00,00,101.536
2003,01,29,19,00,00,101.584
2003,01,29,20,00,00,101.584
2003,01,29,21,00,00,100.088
2003,01,29,22,00,00,99.066
2003,01,29,23,00,00,100.049
2003,01,30,00,00,00,NaN
2003,01,30,01,00,00,NaN
2003,01,30,02,00,00,NaN
2003,01,30,03,00,00,NaN
2003,01,30,04,00,00,NaN
2003,01,30,05,00,00,NaN
2003,01,30,06,00,00,NaN
2003,01,30,07,00,00,NaN
2003,01,30,08,00,00,NaN
2003,01,30,09,00,00,NaN
2003,01,30,10,00,00,NaN
2003,01,30,11,00,00,NaN
2003,01,30,12,00,00,NaN
2003,01,30,13,00,00,NaN
2003,01,30,14,00,00,NaN
2003,01,30,15,00,00,NaN
2003,01,30,16,00,00,NaN
2003,01,30,17,00,00,NaN
2003,01,30,18,00,00,NaN
2003,01,30,19,00,00,NaN
2003,01,30,20,00,00,NaN
2003,01,30,21,00,00,NaN
2003,01,30,22,00,00,NaN
2003,01,30,23,00,00,NaN
2003,01,31,00,00,00,NaN
2003,01,31,01,00,00,NaN
2003,01,31,02,00,00,NaN
2003,01,31,03,00,00,NaN
2003,01,31,04,00,00,NaN
2003,01,31,05,00,00,NaN
2003,01,31,06,00,00,NaN
2003,01,31,07,00,00,NaN
2003,01,31,08,00,00,NaN
2003,01,31,09,00,00,NaN
2003,01,31,10,00,00,NaN
2003,01,31,11,00,00,NaN
2003,01,31,12,00,00,NaN
2003,01,31,13,00,00,NaN
2003,01,31,14,00,00,NaN
2003,01,31,15,00,00,NaN
